,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,IN_TREINEIRO,TP_SEXO,TP_ESCOLA,TP_COR_RACA,SG_UF_PROVA
1284794,548.5,396.2,477.5,468.3,360.0,0,M,1,3,RJ
1560619,533.2,487.7,455.4,489.6,520.0,0,M,2,3,CE
2532342,490.7,498.7,481.3,374.6,740.0,0,F,3,1,GO
715932,,,,,,0,F,1,2,RR
1426617,511.1,449.3,421.5,409.8,580.0,0,F,2,3,CE
1062836,431.7,370.7,473.1,441.9,440.0,0,F,1,3,DF
1930701,410.0,552.0,483.8,430.7,500.0,0,F,2,3,AM
1833690,485.4,406.9,478.0,388.3,540.0,0,M,1,3,MG
3324557,648.8,652.1,604.6,665.5,600.0,0,M,1,3,RJ
1210370,411.4,520.1,530.0,399.2,500.0,0,M,2,4,RN
3095492,,,,,,0,M,1,3,MG
2926145,552.9,596.4,572.7,593.8,820.0,0,F,1,0,AM
3077743,330.7,553.4,462.9,601.9,640.0,0,M,1,2,PB
1728398,414.3,499.2,473.7,580.9,600.0,0,F,2,3,RO
1914135,490.5,550.1,566.7,506.5,660.0,0,M,1,1,RS
1824641,530.1,564.7,501.7,419.5,580.0,0,M,1,3,BA
1154004,,,,,,0,M,1,2,SP
3298325,479.5,507.6,438.9,449.6,720.0,0,F,1,3,PA
1689696,,,,,,0,F,1,3,RS
540465,460.4,564.9,562.9,585.8,480.0,0,F,1,3,SP
598749,453.4,576.7,513.9,554.0,740.0,0,F,1,1,PB
1127278,469.6,533.3,522.4,625.4,640.0,1,F,1,1,SP
1990010,397.4,494.2,479.4,523.7,760.0,0,F,2,5,CE
2875828,594.2,590.4,554.8,666.9,820.0,0,M,3,1,RJ
60171,411.6,488.2,330.6,388.2,540.0,1,F,1,3,GO
1886554,500.3,505.1,574.4,649.1,720.0,1,F,1,1,SP
692919,492.6,589.6,538.0,642.3,720.0,0,M,2,3,GO
1749225,440.2,492.4,465.3,416.6,520.0,0,F,1,3,PA
2941675,,,,,,0,F,2,3,RN
180052,480.5,509.5,459.4,532.9,460.0,0,F,1,3,RN
1618220,541.0,554.6,557.1,562.5,680.0,0,F,2,3,PE
988110,414.7,483.4,493.3,429.1,620.0,0,F,1,2,BA
420104,,,,,,0,F,2,3,GO
730709,,,,,,0,M,1,3,GO
2783398,389.6,446.6,381.9,392.7,520.0,0,M,2,1,RS
134132,,,,,,0,F,1,1,SP
839896,560.2,581.2,592.4,574.5,780.0,0,F,1,1,ES
1408870,417.4,537.3,474.5,452.9,500.0,1,F,1,3,RJ
1475551,481.9,547.9,591.7,624.4,660.0,1,F,1,1,SP
2421877,620.6,632.7,660.4,571.6,780.0,0,F,1,1,GO
2668933,571.3,565.0,547.3,608.3,840.0,0,F,2,2,PA
3261206,418.9,369.9,367.8,379.2,520.0,0,F,1,3,MA
3099502,,,,,,0,M,1,1,MG
337622,,,,,,0,M,1,5,PE
979841,707.9,676.8,673.9,907.6,860.0,0,M,1,1,SP
2058409,,,,,,0,M,1,1,PE
1687349,512.8,575.8,575.1,591.4,680.0,0,F,1,1,MG
816097,,,,,,0,F,1,2,MG
179842,,519.2,518.2,,600.0,0,F,1,3,DF
1147367,,,,,,0,F,2,2,PE
1318842,434.8,467.8,353.7,362.1,620.0,0,F,3,1,AL
2113651,461.5,0.0,466.6,336.8,0.0,1,M,1,3,AP
686742,557.2,550.1,607.5,541.4,560.0,0,M,2,3,BA
503795,599.7,613.0,630.6,593.0,640.0,0,F,1,3,PA
1317933,464.6,535.2,517.8,588.6,720.0,0,F,1,3,PI
2946500,,,,,,0,F,1,2,CE
2296404,,,,,,0,M,1,3,PA
